Date,Open,High,Low,Close,Volume
2025-07-11,163.72,167.89,163.47,164.92,191107583
2025-07-10,164.32,164.5,161.61,164.1,167704100
2025-07-09,161.22,164.42,161.16,162.88,183656443
2025-07-08,159.33,160.22,158.39,160,138133025
2025-07-07,158.2,159.31,157.34,158.24,140139000
2025-07-03,158.37,160.98,157.77,159.34,143716100
2025-07-02,152.98,157.6,152.97,157.25,171224111
2025-07-01,156.29,157.2,151.49,153.3,213143621
2025-06-30,158.4,158.66,155.96,157.99,194580316
2025-06-27,156.04,158.71,155.26,157.75,263234539
2025-06-26,155.98,156.72,154,155.02,198145746
2025-06-25,149.27,154.45,149.26,154.31,269146500
2025-06-24,145.56,147.96,145.5,147.9,187566121
2025-06-23,142.5,144.78,142.03,144.17,154308941
2025-06-20,145.45,146.2,142.65,143.85,242956200
2025-06-18,144.01,145.65,143.12,145.48,161494121
2025-06-17,144.49,145.22,143.78,144.12,139108000
2025-06-16,143.35,146.18,143.2,144.69,183133700
2025-06-13,142.48,143.58,140.85,141.97,180820600
2025-06-12,141.97,145,141.85,145,162365000
2025-06-11,144.61,144.99,141.87,142.83,167694044
2025-06-10,142.69,144.29,141.53,143.96,155881900
2025-06-09,143.19,145,141.94,142.63,185114500
2025-06-06,142.51,143.27,141.51,141.72,153986200
2025-06-05,142.17,144,138.83,139.99,232410759
2025-06-04,142.19,142.39,139.54,141.92,167120819
2025-06-03,138.78,142,137.95,141.22,225578800
2025-06-02,135.49,138.12,135.4,137.38,197663116
2025-05-30,138.72,139.62,132.92,135.13,333170900
2025-05-29,142.25,143.49,137.91,139.19,370615167
2025-05-28,136.03,137.25,134.79,134.81,304021146
2025-05-27,134.15,135.66,133.31,135.5,192953613
2025-05-23,130,132.68,129.16,131.29,198821324
2025-05-22,132.23,134.25,131.55,132.83,187344000
2025-05-21,133.06,137.4,130.59,131.8,270608738
2025-05-20,134.29,134.58,132.62,134.38,161514247
2025-05-19,132.39,135.87,132.39,135.57,193154600
2025-05-16,136.22,136.35,133.46,135.4,226542500
2025-05-15,134.29,136.3,132.66,134.83,226632600
2025-05-14,133.2,135.44,131.68,135.34,281180830
2025-05-13,124.98,131.22,124.47,129.93,330430105
2025-05-12,121.97,123,120.28,123,225023345
2025-05-09,117.35,118.23,115.21,116.65,132972200
2025-05-08,118.25,118.68,115.85,117.37,198428122
2025-05-07,113.05,117.68,112.28,117.06,207827821
2025-05-06,111.48,114.74,110.82,113.54,158525621
2025-05-05,112.91,114.67,112.66,113.82,133163241
2025-05-02,114.18,115.4,113.37,114.5,190194800
2025-05-01,113.08,114.94,111.3,111.61,236121507
2025-04-30,104.47,108.92,104.08,108.92,235044611
2025-04-29,107.67,110.2,107.44,109.02,170444300
2025-04-28,109.69,110.37,106.02,108.73,207708500
2025-04-25,106.85,111.92,105.73,111.01,251064700
2025-04-24,103.48,106.54,103.11,106.43,220815041
2025-04-23,104.52,104.8,102.02,102.71,247526000
2025-04-22,98.78,99.81,97.28,98.89,241004800
2025-04-21,98.77,99.44,95.04,96.91,288501136
2025-04-17,104.45,104.47,100.05,101.49,292517465
2025-04-16,104.55,106.79,100.45,104.49,397016900
2025-04-15,110.97,113.62,110.5,112.2,228966900
2025-04-14,114.11,114.29,109.07,110.71,264705049
2025-04-11,108.5,111.55,107.48,110.93,313417300
2025-04-10,109.37,110.86,99.15,107.57,437812400
2025-04-09,98.89,115.1,97.53,114.33,612918336
2025-04-08,103.81,105.85,94.46,96.3,476243400
2025-04-07,87.46,101.75,86.62,97.64,611041347
2025-04-04,98.91,100.13,92.11,94.31,532273810
2025-04-03,103.51,105.63,101.6,101.8,338769412
2025-04-02,107.29,111.98,106.79,110.42,220601243
2025-04-01,108.52,110.2,106.47,110.15,222614034
2025-03-31,105.13,110.96,103.65,108.38,299212700
2025-03-28,111.49,112.87,109.07,109.67,229872549
2025-03-27,111.35,114.45,110.66,111.43,236902100
2025-03-26,118.73,118.84,112.71,113.76,296431667
2025-03-25,120.55,121.29,118.92,120.69,167447200
2025-03-24,119.88,122.22,119.34,121.41,228452534
2025-03-21,116.94,117.99,115.42,117.7,266498528
2025-03-20,116.55,120.2,116.47,118.53,248829749
2025-03-19,117.27,120.45,115.68,117.52,273426225
2025-03-18,118,119.02,114.54,115.43,299686944
2025-03-17,122.74,122.89,118.03,119.53,255501500
2025-03-14,118.61,121.88,118.15,121.67,277593500
2025-03-13,117.03,117.76,113.79,115.58,299033131
2025-03-12,114.12,116.76,112.88,115.74,323857500
2025-03-11,106.99,112.24,104.77,108.76,354865700
2025-03-10,109.9,111.85,105.46,106.98,366487400
2025-03-07,111.25,113.48,107.56,112.69,341755500
2025-03-06,113.53,115.35,110.22,110.57,321181900
2025-03-05,117.58,118.28,114.51,117.3,284337900
2025-03-04,110.65,119.31,110.11,115.99,398163305
2025-03-03,123.51,123.7,112.28,114.06,411381400
2025-02-28,118.02,125.09,116.4,124.92,389091145
2025-02-27,135,135.01,120.01,120.15,443175846
2025-02-26,129.99,133.73,128.49,131.28,322553814
2025-02-25,129.98,130.2,124.44,126.63,271428711
2025-02-24,136.56,138.59,130.08,130.28,251381137
2025-02-21,140.04,141.46,134.03,134.43,228217600
2025-02-20,140.03,140.66,136.79,140.11,143903600
2025-02-19,139.51,141.36,137.22,139.23,167536006
2025-02-18,141.27,143.44,137.93,139.4,219176627
2025-02-14,136.48,139.25,135.5,138.85,195479600
2025-02-13,131.56,136.5,131.17,135.29,197430000
2025-02-12,130.02,132.24,129.08,131.14,160278600
2025-02-11,132.58,134.48,131.02,132.8,178902400
2025-02-10,130.09,135,129.96,133.57,216989100
2025-02-07,129.22,130.37,125,129.84,228186300
2025-02-06,127.42,128.77,125.21,128.68,251483600
2025-02-05,121.76,125,120.76,124.83,263110629
2025-02-04,116.96,121.2,116.7,118.65,256550040
2025-02-03,114.75,118.57,113.01,116.66,371235700
2025-01-31,123.78,127.85,119.19,120.07,390372900
2025-01-30,123.1,125,118.1,124.65,392925500
2025-01-29,126.5,126.89,120.05,123.7,467120640
2025-01-28,121.81,129,116.25,128.99,579666400
2025-01-27,124.8,128.4,116.7,118.42,818830900
2025-01-24,148.37,148.97,141.88,142.62,234657635
2025-01-23,145.05,147.23,143.72,147.22,155915549
2025-01-22,144.66,147.79,143.67,147.07,237651400
2025-01-21,139.16,141.83,137.09,140.83,197749000
2025-01-17,136.69,138.5,135.46,137.71,201188800
2025-01-16,138.64,138.75,133.49,133.57,209235600
2025-01-15,133.65,136.45,131.29,136.24,185217338
2025-01-14,136.05,136.38,130.05,131.76,195590500
2025-01-13,129.99,133.49,129.51,133.23,204808914
2025-01-10,137.45,139.92,134.22,135.91,207602514
2025-01-08,142.58,143.95,137.56,140.11,227349948
2025-01-07,153.03,153.13,140.01,140.14,351782200
2025-01-06,148.59,152.16,147.82,149.43,265377400
2025-01-03,140.01,144.9,139.73,144.47,229322500
2025-01-02,136,138.88,134.63,138.31,198247200
2024-12-31,138.03,138.07,133.83,134.29,155659211
2024-12-30,134.83,140.27,134.02,137.49,167734700
